id,query_text,best_match_sop,best_similarity,source,cluster_name,namespace,pod_name,gap_category,gap_cluster_id,reviewed,draft_sop_created,detected_at
331,why is auth-gateway restarting in identity?,sops/node/runbook-34.md,0.2923,chat,prod-usw2-eks,identity,auth-gateway-7d2aa28-56f78,cpu,906,true,false,2026-06-20 03:28:37
332,why is metrics-server slow in kube-system?,sops/network/runbook-17.md,0.4829,auto,prod-usw2-eks,kube-system,metrics-server-6162d13-d4a14,storage,60,true,false,2026-06-23 01:50:29
333,why is payments-api restarting in payments?,sops/memory/runbook-40.md,0.288,alert,prod-use2-eks,payments,payments-api-c9c2b74-00142,storage,695,false,false,2026-05-30 08:07:36
334,why is metrics-server restarting in kube-system?,sops/security/runbook-13.md,0.322,prediction,prod-usw2-eks,kube-system,metrics-server-6162d13-d4a14,storage,945,false,false,2026-06-09 09:18:54
335,why is cart-svc OOMKilled in checkout?,sops/memory/runbook-35.md,0.4683,auto,prod-use2-eks,checkout,cart-svc-26a7d77-aafdc,memory,532,true,false,2026-05-27 09:43:02
336,why is cart-svc throttled in checkout?,sops/node/runbook-29.md,0.4787,alert,prod-use2-eks,checkout,cart-svc-527eb80-045c0,memory,395,false,true,2026-06-13 02:55:10
337,why is auth-gateway slow in identity?,sops/availability/runbook-11.md,0.3169,prediction,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,storage,724,false,true,2026-06-20 17:33:22
338,why is cart-svc throttled in checkout?,sops/storage/runbook-28.md,0.3526,alert,prod-usw2-eks,checkout,cart-svc-ee38458-64d46,node,1003,false,false,2026-06-15 16:20:48
339,why is notifications restarting in notifications?,sops/availability/runbook-10.md,0.2567,prediction,prod-use2-eks,notifications,notifications-1938743-28dca,memory,449,true,false,2026-06-13 02:15:06
340,why is coredns OOMKilled in kube-system?,sops/memory/runbook-18.md,0.2628,auto,staging-use2-eks,kube-system,coredns-b16ea15-07544,cpu,628,false,false,2026-05-30 03:45:30
341,why is payments-api slow in payments?,sops/memory/runbook-26.md,0.3968,chat,prod-usw2-eks,payments,payments-api-6c2b997-3e07d,cpu,994,false,false,2026-06-01 01:59:42
342,why is search-api OOMKilled in search?,sops/node/runbook-08.md,0.2848,alert,prod-usw2-eks,search,search-api-db28570-d359e,cpu,48,true,false,2026-06-03 22:37:17
343,why is cart-svc slow in checkout?,sops/node/runbook-12.md,0.2017,chat,prod-use2-eks,checkout,cart-svc-51c2594-4d271,cpu,135,false,false,2026-05-26 14:47:37
344,why is ledger-svc restarting in ledger?,sops/node/runbook-01.md,0.3499,alert,prod-usw2-eks,ledger,ledger-svc-842cd31-95bfa,storage,337,false,false,2026-06-03 08:20:49
345,why is orders-api OOMKilled in orders?,sops/availability/runbook-16.md,0.3199,prediction,prod-use2-eks,orders,orders-api-7f89525-97cdd,cpu,92,true,false,2026-06-23 04:39:09
346,why is ledger-svc slow in ledger?,sops/security/runbook-37.md,0.2129,chat,prod-use2-eks,ledger,ledger-svc-f4a6d64-16dde,memory,69,true,false,2026-06-09 01:36:51
347,why is metrics-server slow in kube-system?,sops/cpu/runbook-31.md,0.413,alert,prod-usw2-eks,kube-system,metrics-server-6162d13-d4a14,cpu,216,false,false,2026-05-29 02:24:27
348,why is auth-gateway restarting in identity?,sops/node/runbook-34.md,0.5062,chat,prod-use2-eks,identity,auth-gateway-bf1d422-2018d,network,929,true,true,2026-06-19 05:28:30
349,why is payments-api slow in payments?,sops/node/runbook-05.md,0.5341,prediction,prod-usw2-eks,payments,payments-api-6c2b997-3e07d,network,497,false,true,2026-06-18 01:08:57
350,why is payments-api OOMKilled in payments?,sops/network/runbook-04.md,0.301,auto,prod-usw2-eks,payments,payments-api-6c2b997-3e07d,cpu,370,false,false,2026-06-05 22:56:00
351,why is payments-worker slow in payments?,sops/memory/runbook-09.md,0.3674,prediction,prod-use2-eks,payments,payments-worker-7a57672-86691,storage,976,false,false,2026-06-06 23:26:17
352,why is checkout-web slow in checkout?,sops/availability/runbook-10.md,0.5135,chat,prod-use2-eks,checkout,checkout-web-0101b48-2b2af,memory,560,false,true,2026-06-16 00:16:58
353,why is checkout-web slow in checkout?,sops/node/runbook-29.md,0.308,prediction,prod-usw2-eks,checkout,checkout-web-ec64e26-f37ce,cpu,299,true,true,2026-06-19 19:47:22
354,why is checkout-web throttled in checkout?,sops/storage/runbook-32.md,0.3108,prediction,prod-usw2-eks,checkout,checkout-web-c2b3638-fa6d0,memory,514,false,false,2026-06-03 03:47:53
355,why is search-api OOMKilled in search?,sops/memory/runbook-35.md,0.3624,auto,prod-usw2-eks,search,search-api-a47d446-4ffe2,network,323,false,false,2026-05-27 10:04:15
356,why is ledger-svc OOMKilled in ledger?,sops/availability/runbook-14.md,0.3702,chat,prod-use2-eks,ledger,ledger-svc-f4a6d64-16dde,cpu,686,true,false,2026-06-05 18:18:19
357,why is auth-gateway OOMKilled in identity?,sops/memory/runbook-35.md,0.4617,prediction,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,cpu,395,false,false,2026-06-04 14:31:19
358,why is search-api OOMKilled in search?,sops/availability/runbook-14.md,0.4851,chat,prod-usw2-eks,search,search-api-8352074-5b766,network,845,true,false,2026-05-31 18:03:48
359,why is auth-gateway slow in identity?,sops/node/runbook-15.md,0.4037,alert,prod-usw2-eks,identity,auth-gateway-ebb2b70-575e4,storage,1001,true,false,2026-05-28 19:44:43
360,why is coredns throttled in kube-system?,sops/cpu/runbook-31.md,0.4632,alert,prod-usw2-eks,kube-system,coredns-4a8b365-1d9fc,memory,419,true,true,2026-06-19 05:53:02
361,why is coredns OOMKilled in kube-system?,sops/security/runbook-22.md,0.2915,prediction,prod-use2-eks,kube-system,coredns-47d4438-c55d7,memory,261,false,false,2026-06-20 13:45:01
362,why is auth-gateway restarting in identity?,sops/storage/runbook-32.md,0.2218,chat,staging-use2-eks,identity,auth-gateway-c975434-e6ef9,network,69,false,false,2026-06-22 01:57:51
363,why is checkout-web restarting in checkout?,sops/memory/runbook-19.md,0.4196,chat,dr-use1-eks,checkout,checkout-web-4263246-52f3a,storage,224,false,false,2026-06-11 21:39:26
364,why is config-svc restarting in platform?,sops/memory/runbook-09.md,0.5485,alert,dr-use1-eks,platform,config-svc-0f5b883-4b9e2,node,504,false,false,2026-06-19 12:25:37
365,why is auth-gateway throttled in identity?,sops/node/runbook-24.md,0.3835,auto,prod-use2-eks,identity,auth-gateway-bf1d422-2018d,storage,385,false,true,2026-06-18 12:12:23
366,why is checkout-web throttled in checkout?,sops/availability/runbook-33.md,0.2115,prediction,prod-usw2-eks,checkout,checkout-web-2e5d994-d724e,network,73,true,false,2026-06-23 11:43:46
367,why is search-api OOMKilled in search?,sops/node/runbook-36.md,0.3072,alert,prod-use2-eks,search,search-api-4350294-dbefb,memory,534,false,false,2026-06-17 15:49:06
368,why is ledger-svc restarting in ledger?,sops/storage/runbook-02.md,0.2951,alert,prod-usw2-eks,ledger,ledger-svc-842cd31-95bfa,node,845,false,false,2026-06-08 02:47:34
369,why is search-api slow in search?,sops/node/runbook-05.md,0.4201,prediction,prod-usw2-eks,search,search-api-15a6d76-12766,storage,967,false,true,2026-06-13 13:04:00
370,why is orders-api restarting in orders?,sops/storage/runbook-28.md,0.3333,alert,prod-usw2-eks,orders,orders-api-cbca488-26609,node,462,false,false,2026-06-19 14:15:04
371,why is session-store throttled in identity?,sops/security/runbook-23.md,0.3251,auto,prod-usw2-eks,identity,session-store-d825e25-14f9f,storage,1013,false,true,2026-05-24 17:08:24
372,why is orders-worker OOMKilled in orders?,sops/node/runbook-12.md,0.5,chat,prod-usw2-eks,orders,orders-worker-8482791-f2d9f,node,953,false,false,2026-05-24 17:25:34
373,why is payments-worker OOMKilled in payments?,sops/node/runbook-15.md,0.4687,prediction,prod-use2-eks,payments,payments-worker-7a57672-86691,cpu,418,false,false,2026-05-27 23:22:42
374,why is orders-api slow in orders?,sops/storage/runbook-27.md,0.3614,chat,prod-usw2-eks,orders,orders-api-402bb51-ad48f,cpu,796,false,true,2026-06-20 05:49:58
375,why is inventory-svc throttled in inventory?,sops/memory/runbook-35.md,0.3043,alert,staging-use2-eks,inventory,inventory-svc-1d6f570-1b50d,memory,531,true,false,2026-05-27 12:42:50
376,why is session-store OOMKilled in identity?,sops/security/runbook-37.md,0.423,prediction,staging-use2-eks,identity,session-store-a097c68-649a1,network,194,false,false,2026-06-19 14:00:37
377,why is auth-gateway slow in identity?,sops/storage/runbook-32.md,0.3615,alert,prod-usw2-eks,identity,auth-gateway-ebb2b70-575e4,storage,49,false,false,2026-06-02 23:15:03
378,why is auth-gateway OOMKilled in identity?,sops/storage/runbook-07.md,0.4764,prediction,prod-use2-eks,identity,auth-gateway-ec6b034-0575b,node,666,false,false,2026-05-27 08:51:03
379,why is inventory-svc throttled in inventory?,sops/memory/runbook-19.md,0.3069,prediction,prod-usw2-eks,inventory,inventory-svc-bf8f159-02345,node,885,false,true,2026-06-19 20:51:07
380,why is payments-worker OOMKilled in payments?,sops/node/runbook-01.md,0.2804,chat,prod-use2-eks,payments,payments-worker-7a57672-86691,cpu,629,true,true,2026-06-11 10:45:35
381,why is notifications throttled in notifications?,sops/node/runbook-34.md,0.4262,chat,prod-usw2-eks,notifications,notifications-abd2926-3451e,storage,894,false,false,2026-06-13 19:31:03
382,why is orders-api OOMKilled in orders?,sops/availability/runbook-06.md,0.3668,prediction,prod-usw2-eks,orders,orders-api-21c5d48-15186,storage,566,true,false,2026-05-29 01:54:58
383,why is notifications throttled in notifications?,sops/storage/runbook-27.md,0.3437,auto,dr-use1-eks,notifications,notifications-b036879-82982,cpu,898,true,true,2026-06-03 17:59:33
384,why is indexer OOMKilled in search?,sops/storage/runbook-07.md,0.3847,alert,dr-use1-eks,search,indexer-6af7422-f66fc,node,920,true,true,2026-06-22 13:57:28
385,why is recommendation throttled in search?,sops/storage/runbook-07.md,0.5345,chat,staging-use2-eks,search,recommendation-2071c72-c0b22,storage,150,false,true,2026-06-01 03:47:28
386,why is config-svc restarting in platform?,sops/network/runbook-25.md,0.2165,chat,prod-use2-eks,platform,config-svc-027a395-39a4d,cpu,52,false,false,2026-06-13 20:13:03
387,why is coredns throttled in kube-system?,sops/security/runbook-13.md,0.2613,auto,prod-use2-eks,kube-system,coredns-e513a45-fb7bf,node,797,false,false,2026-06-17 06:52:19
388,why is config-svc slow in platform?,sops/security/runbook-23.md,0.3602,chat,prod-use2-eks,platform,config-svc-ddd1723-06ca5,network,1015,true,false,2026-06-05 04:49:22
389,why is image-resizer OOMKilled in platform?,sops/memory/runbook-18.md,0.3979,auto,prod-use2-eks,platform,image-resizer-7bb3c89-50e74,storage,536,false,false,2026-05-24 23:11:11
390,why is orders-api restarting in orders?,sops/memory/runbook-26.md,0.4406,prediction,dr-use1-eks,orders,orders-api-8330e48-f22f4,storage,452,true,false,2026-05-26 03:59:05
391,why is ledger-svc throttled in ledger?,sops/availability/runbook-16.md,0.2615,prediction,prod-use2-eks,ledger,ledger-svc-204e643-7d23b,node,1095,true,false,2026-05-28 21:48:19
392,why is search-api restarting in search?,sops/availability/runbook-33.md,0.2665,auto,prod-use2-eks,search,search-api-4350294-dbefb,node,877,true,true,2026-06-06 03:49:21
393,why is auth-gateway OOMKilled in identity?,sops/memory/runbook-19.md,0.5498,chat,prod-use2-eks,identity,auth-gateway-7b28269-a7447,node,832,false,false,2026-06-17 05:40:54
394,why is checkout-web restarting in checkout?,sops/network/runbook-04.md,0.3172,alert,prod-use2-eks,checkout,checkout-web-c343d41-6a8d2,storage,127,true,false,2026-06-11 04:16:00
395,why is inventory-svc slow in inventory?,sops/node/runbook-29.md,0.4656,auto,dr-use1-eks,inventory,inventory-svc-4ccbe67-9cbde,cpu,789,true,false,2026-05-24 22:26:50
396,why is payments-worker throttled in payments?,sops/network/runbook-17.md,0.2603,alert,prod-use2-eks,payments,payments-worker-bff7264-02c23,network,1018,true,false,2026-06-11 14:15:30
397,why is recommendation slow in search?,sops/node/runbook-05.md,0.2905,auto,prod-use2-eks,search,recommendation-e5d5555-c6e9b,memory,683,true,false,2026-06-04 05:49:12
398,why is config-svc OOMKilled in platform?,sops/security/runbook-03.md,0.5262,prediction,prod-use2-eks,platform,config-svc-027a395-39a4d,node,202,true,false,2026-06-20 01:12:41
399,why is indexer throttled in search?,sops/storage/runbook-32.md,0.2853,prediction,prod-usw2-eks,search,indexer-b957537-8aa20,cpu,957,false,false,2026-05-27 20:27:58
400,why is payments-worker slow in payments?,sops/availability/runbook-11.md,0.3039,auto,prod-usw2-eks,payments,payments-worker-1d1bf52-dff66,cpu,810,false,false,2026-06-01 07:41:16
401,why is payments-api throttled in payments?,sops/memory/runbook-09.md,0.2487,chat,prod-use2-eks,payments,payments-api-c9c2b74-00142,memory,161,false,false,2026-06-02 04:40:34
402,why is indexer throttled in search?,sops/storage/runbook-32.md,0.4578,chat,prod-usw2-eks,search,indexer-b957537-8aa20,network,651,true,false,2026-06-04 15:24:43
403,why is inventory-svc restarting in inventory?,sops/node/runbook-24.md,0.4581,chat,prod-use2-eks,inventory,inventory-svc-bfded25-1e6d2,memory,246,false,false,2026-06-12 06:59:23
404,why is orders-worker throttled in orders?,sops/node/runbook-15.md,0.4205,alert,prod-use2-eks,orders,orders-worker-06e2683-7270e,cpu,248,true,true,2026-05-28 21:34:50
405,why is checkout-web restarting in checkout?,sops/security/runbook-03.md,0.4103,prediction,prod-use2-eks,checkout,checkout-web-47df111-4e24c,memory,877,true,true,2026-05-25 03:55:44
406,why is search-api slow in search?,sops/availability/runbook-39.md,0.3385,chat,prod-usw2-eks,search,search-api-db28570-d359e,node,430,false,false,2026-05-24 22:07:05
407,why is metrics-server throttled in kube-system?,sops/network/runbook-17.md,0.3283,prediction,prod-use2-eks,kube-system,metrics-server-e2e6924-29c37,memory,267,false,false,2026-05-30 13:19:34
408,why is inventory-svc throttled in inventory?,sops/node/runbook-08.md,0.3582,prediction,prod-usw2-eks,inventory,inventory-svc-bf8f159-02345,cpu,989,true,false,2026-06-09 13:55:17
409,why is cart-svc restarting in checkout?,sops/security/runbook-22.md,0.4417,prediction,prod-use2-eks,checkout,cart-svc-527eb80-045c0,node,921,false,false,2026-06-13 00:41:21
410,why is search-api throttled in search?,sops/availability/runbook-20.md,0.4094,prediction,staging-use2-eks,search,search-api-8ca0b98-505ff,cpu,970,true,false,2026-05-24 21:47:52
411,why is search-api OOMKilled in search?,sops/memory/runbook-40.md,0.2187,chat,staging-use2-eks,search,search-api-8ca0b98-505ff,cpu,1033,false,false,2026-06-17 09:43:13
412,why is search-api OOMKilled in search?,sops/cpu/runbook-31.md,0.423,prediction,staging-use2-eks,search,search-api-8ca0b98-505ff,memory,346,false,false,2026-06-16 09:37:48
413,why is ledger-svc OOMKilled in ledger?,sops/availability/runbook-11.md,0.3969,prediction,prod-usw2-eks,ledger,ledger-svc-0744083-43011,node,1097,false,false,2026-06-10 12:22:21
414,why is recommendation throttled in search?,sops/node/runbook-29.md,0.2882,alert,staging-use2-eks,search,recommendation-2071c72-c0b22,network,122,false,false,2026-06-12 09:52:47
415,why is auth-gateway slow in identity?,sops/memory/runbook-21.md,0.2867,alert,staging-use2-eks,identity,auth-gateway-41b4f33-14ef9,cpu,870,false,true,2026-05-24 15:14:57
416,why is payments-api OOMKilled in payments?,sops/node/runbook-12.md,0.3876,chat,staging-use2-eks,payments,payments-api-dde4d16-a3d09,cpu,445,true,false,2026-06-08 09:53:23
417,why is indexer OOMKilled in search?,sops/cpu/runbook-31.md,0.3981,auto,prod-usw2-eks,search,indexer-6c1eb29-ca471,cpu,1058,false,false,2026-06-13 04:52:01
418,why is ledger-svc throttled in ledger?,sops/storage/runbook-07.md,0.2878,alert,prod-use2-eks,ledger,ledger-svc-1232e29-49ea1,memory,895,true,true,2026-05-25 19:03:54
419,why is indexer OOMKilled in search?,sops/memory/runbook-18.md,0.4309,prediction,prod-usw2-eks,search,indexer-b957537-8aa20,cpu,1004,true,false,2026-06-21 17:16:24
420,why is auth-gateway throttled in identity?,sops/availability/runbook-16.md,0.2674,auto,prod-usw2-eks,identity,auth-gateway-fb1c283-81cc8,memory,735,true,false,2026-06-19 13:28:40
421,why is cart-svc OOMKilled in checkout?,sops/node/runbook-36.md,0.2135,auto,prod-usw2-eks,checkout,cart-svc-0a94879-c1bba,network,129,false,false,2026-06-01 15:04:51
422,why is image-resizer throttled in platform?,sops/memory/runbook-18.md,0.5103,chat,prod-use2-eks,platform,image-resizer-9994630-7c707,network,155,false,false,2026-06-02 07:23:57
423,why is ledger-svc restarting in ledger?,sops/security/runbook-37.md,0.3078,prediction,prod-use2-eks,ledger,ledger-svc-1232e29-49ea1,memory,540,false,true,2026-06-15 15:16:59
424,why is coredns slow in kube-system?,sops/availability/runbook-10.md,0.3371,prediction,staging-use2-eks,kube-system,coredns-b16ea15-07544,storage,714,true,false,2026-05-24 15:10:31
425,why is search-api restarting in search?,sops/node/runbook-05.md,0.4623,auto,prod-use2-eks,search,search-api-4350294-dbefb,cpu,105,false,false,2026-05-31 18:17:54
426,why is coredns throttled in kube-system?,sops/node/runbook-29.md,0.2718,prediction,prod-use2-eks,kube-system,coredns-e513a45-fb7bf,memory,267,false,true,2026-06-23 09:37:46
427,why is orders-worker slow in orders?,sops/availability/runbook-33.md,0.3245,chat,prod-use2-eks,orders,orders-worker-9681c18-374c7,storage,582,false,false,2026-06-19 15:46:34
428,why is session-store OOMKilled in identity?,sops/memory/runbook-26.md,0.502,alert,prod-usw2-eks,identity,session-store-d825e25-14f9f,node,72,false,false,2026-06-14 08:35:05
429,why is checkout-web slow in checkout?,sops/storage/runbook-07.md,0.5143,prediction,prod-use2-eks,checkout,checkout-web-c2eb578-2d181,cpu,585,false,false,2026-06-11 08:17:13
430,why is cart-svc OOMKilled in checkout?,sops/node/runbook-05.md,0.3726,chat,prod-usw2-eks,checkout,cart-svc-0a94879-c1bba,storage,432,true,false,2026-06-11 07:31:17
431,why is cart-svc restarting in checkout?,sops/security/runbook-13.md,0.2004,prediction,prod-usw2-eks,checkout,cart-svc-0a94879-c1bba,memory,136,false,true,2026-06-20 23:30:44
432,why is coredns restarting in kube-system?,sops/memory/runbook-09.md,0.2501,chat,prod-use2-eks,kube-system,coredns-47d4438-c55d7,network,1084,true,false,2026-05-25 05:31:55
433,why is payments-worker throttled in payments?,sops/storage/runbook-28.md,0.3491,auto,prod-usw2-eks,payments,payments-worker-1d1bf52-dff66,memory,263,false,true,2026-06-05 04:21:57
434,why is search-api restarting in search?,sops/memory/runbook-19.md,0.2428,chat,dr-use1-eks,search,search-api-d416b43-7cb20,storage,180,false,true,2026-06-03 07:44:29
435,why is auth-gateway throttled in identity?,sops/storage/runbook-28.md,0.227,auto,prod-use2-eks,identity,auth-gateway-7b28269-a7447,storage,411,true,false,2026-06-22 23:06:00
436,why is inventory-svc slow in inventory?,sops/memory/runbook-35.md,0.4686,prediction,prod-use2-eks,inventory,inventory-svc-df6d343-0a45b,node,480,false,false,2026-06-16 06:43:20
437,why is payments-api restarting in payments?,sops/memory/runbook-18.md,0.4106,chat,prod-usw2-eks,payments,payments-api-6c2b997-3e07d,network,101,true,false,2026-06-21 09:27:24
438,why is auth-gateway OOMKilled in identity?,sops/node/runbook-08.md,0.4218,alert,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,node,511,false,true,2026-06-16 10:34:16
439,why is ledger-svc OOMKilled in ledger?,sops/node/runbook-34.md,0.3933,alert,prod-use2-eks,ledger,ledger-svc-f4a6d64-16dde,network,558,false,false,2026-05-24 22:41:07
440,why is checkout-web OOMKilled in checkout?,sops/security/runbook-03.md,0.396,chat,prod-usw2-eks,checkout,checkout-web-f628153-c1833,cpu,310,true,false,2026-05-25 10:29:59
441,why is search-api slow in search?,sops/security/runbook-13.md,0.342,alert,prod-use2-eks,search,search-api-1271443-2f040,memory,71,false,false,2026-06-13 21:06:24
442,why is image-resizer restarting in platform?,sops/network/runbook-25.md,0.4029,auto,prod-use2-eks,platform,image-resizer-7bb3c89-50e74,node,45,false,false,2026-06-12 10:28:31
443,why is payments-worker throttled in payments?,sops/storage/runbook-07.md,0.5166,chat,prod-usw2-eks,payments,payments-worker-b4be648-d2dcb,storage,366,false,false,2026-05-27 14:27:20
444,why is orders-api restarting in orders?,sops/network/runbook-25.md,0.2529,prediction,prod-usw2-eks,orders,orders-api-402bb51-ad48f,node,282,false,false,2026-05-24 21:38:44
445,why is payments-api OOMKilled in payments?,sops/storage/runbook-32.md,0.4916,auto,prod-use2-eks,payments,payments-api-58c5e74-26d34,network,350,true,true,2026-06-20 07:51:09
446,why is config-svc slow in platform?,sops/availability/runbook-06.md,0.4527,alert,staging-use2-eks,platform,config-svc-929cd33-16be4,memory,702,false,false,2026-06-18 08:41:05
447,why is coredns throttled in kube-system?,sops/security/runbook-03.md,0.3457,auto,prod-usw2-eks,kube-system,coredns-37f1521-4cd3d,cpu,278,true,false,2026-06-20 02:09:48
448,why is payments-api OOMKilled in payments?,sops/security/runbook-23.md,0.4665,prediction,prod-use2-eks,payments,payments-api-1ce3577-591ac,storage,121,false,false,2026-06-18 13:22:49
449,why is search-api throttled in search?,sops/availability/runbook-20.md,0.4819,chat,dr-use1-eks,search,search-api-d416b43-7cb20,memory,170,false,false,2026-05-25 10:33:11
450,why is auth-gateway OOMKilled in identity?,sops/memory/runbook-09.md,0.4068,auto,prod-use2-eks,identity,auth-gateway-ec6b034-0575b,storage,1026,false,false,2026-06-20 14:09:34
451,why is session-store slow in identity?,sops/network/runbook-04.md,0.545,alert,staging-use2-eks,identity,session-store-a097c68-649a1,memory,412,false,true,2026-06-14 18:19:16
452,why is auth-gateway OOMKilled in identity?,sops/security/runbook-30.md,0.5284,alert,prod-usw2-eks,identity,auth-gateway-fb1c283-81cc8,storage,457,false,false,2026-06-22 01:54:39
453,why is ledger-svc OOMKilled in ledger?,sops/availability/runbook-06.md,0.5435,alert,prod-usw2-eks,ledger,ledger-svc-2014124-29b88,memory,470,true,false,2026-06-20 09:25:02
454,why is auth-gateway restarting in identity?,sops/node/runbook-38.md,0.3747,alert,prod-use2-eks,identity,auth-gateway-7b28269-a7447,cpu,718,true,false,2026-06-04 01:08:01
455,why is notifications restarting in notifications?,sops/availability/runbook-33.md,0.4986,auto,prod-usw2-eks,notifications,notifications-b2aff41-e1772,memory,1084,true,false,2026-06-12 15:25:03
456,why is config-svc OOMKilled in platform?,sops/node/runbook-01.md,0.4908,prediction,prod-usw2-eks,platform,config-svc-370d832-a686a,network,178,true,false,2026-06-16 11:08:24
457,why is ledger-svc slow in ledger?,sops/node/runbook-24.md,0.2582,prediction,prod-use2-eks,ledger,ledger-svc-204e643-7d23b,memory,548,false,false,2026-06-07 09:11:56
458,why is auth-gateway restarting in identity?,sops/node/runbook-34.md,0.2591,prediction,prod-usw2-eks,identity,auth-gateway-ebb2b70-575e4,memory,636,false,false,2026-06-15 00:56:01
459,why is cart-svc slow in checkout?,sops/node/runbook-38.md,0.4714,alert,prod-use2-eks,checkout,cart-svc-26a7d77-aafdc,node,389,true,false,2026-06-14 04:28:45
460,why is ledger-svc restarting in ledger?,sops/security/runbook-37.md,0.3372,alert,dr-use1-eks,ledger,ledger-svc-e00a046-6e2d6,network,377,false,false,2026-06-20 00:45:47
461,why is inventory-svc throttled in inventory?,sops/node/runbook-29.md,0.4974,chat,prod-usw2-eks,inventory,inventory-svc-0d33458-c137f,storage,199,true,false,2026-05-30 14:12:35
462,why is inventory-svc restarting in inventory?,sops/network/runbook-04.md,0.3354,alert,prod-use2-eks,inventory,inventory-svc-bfded25-1e6d2,memory,391,true,false,2026-06-07 13:02:03
463,why is search-api slow in search?,sops/availability/runbook-10.md,0.4577,alert,prod-use2-eks,search,search-api-eff0684-a368a,memory,473,true,true,2026-05-28 17:59:26
464,why is session-store restarting in identity?,sops/cpu/runbook-31.md,0.5437,chat,prod-usw2-eks,identity,session-store-d825e25-14f9f,network,564,false,false,2026-06-01 07:37:21
465,why is payments-worker slow in payments?,sops/memory/runbook-21.md,0.4681,prediction,prod-usw2-eks,payments,payments-worker-1d1bf52-dff66,network,104,true,false,2026-06-15 18:17:03
466,why is inventory-svc OOMKilled in inventory?,sops/availability/runbook-10.md,0.446,alert,prod-usw2-eks,inventory,inventory-svc-0d33458-c137f,node,782,true,true,2026-05-24 16:58:08
467,why is search-api restarting in search?,sops/storage/runbook-07.md,0.2609,alert,prod-use2-eks,search,search-api-eff0684-a368a,storage,217,false,false,2026-06-12 13:12:57
468,why is payments-worker OOMKilled in payments?,sops/storage/runbook-28.md,0.3437,chat,prod-usw2-eks,payments,payments-worker-1d1bf52-dff66,storage,214,false,true,2026-05-27 03:04:31
469,why is recommendation OOMKilled in search?,sops/security/runbook-37.md,0.2804,prediction,prod-usw2-eks,search,recommendation-87e3198-026ea,cpu,498,false,false,2026-05-28 09:08:43
470,why is search-api OOMKilled in search?,sops/security/runbook-13.md,0.4937,alert,prod-usw2-eks,search,search-api-db28570-d359e,storage,316,false,true,2026-06-11 03:56:24
471,why is notifications OOMKilled in notifications?,sops/memory/runbook-18.md,0.4993,chat,dr-use1-eks,notifications,notifications-b036879-82982,cpu,508,false,false,2026-05-25 01:54:07
472,why is orders-api OOMKilled in orders?,sops/security/runbook-13.md,0.3674,chat,dr-use1-eks,orders,orders-api-8330e48-f22f4,storage,140,false,true,2026-05-24 20:41:13
473,why is payments-api throttled in payments?,sops/memory/runbook-26.md,0.2253,prediction,staging-use2-eks,payments,payments-api-dde4d16-a3d09,node,382,false,false,2026-05-26 04:06:43
474,why is image-resizer slow in platform?,sops/memory/runbook-18.md,0.5397,auto,prod-usw2-eks,platform,image-resizer-9683178-b7560,node,838,true,false,2026-06-02 00:13:24
475,why is search-api restarting in search?,sops/availability/runbook-33.md,0.2953,auto,prod-use2-eks,search,search-api-1271443-2f040,node,221,true,false,2026-06-05 18:55:02
476,why is payments-api slow in payments?,sops/memory/runbook-19.md,0.3319,prediction,prod-usw2-eks,payments,payments-api-6c2b997-3e07d,node,1025,true,false,2026-06-14 00:05:17
477,why is image-resizer slow in platform?,sops/storage/runbook-02.md,0.3717,chat,prod-use2-eks,platform,image-resizer-9994630-7c707,node,364,true,false,2026-06-12 22:31:45
478,why is search-api restarting in search?,sops/node/runbook-15.md,0.2024,chat,prod-usw2-eks,search,search-api-8352074-5b766,memory,748,true,true,2026-06-20 15:09:50
479,why is auth-gateway throttled in identity?,sops/availability/runbook-14.md,0.4107,auto,prod-usw2-eks,identity,auth-gateway-d4d3364-aac01,node,225,true,true,2026-06-23 11:04:06
480,why is image-resizer throttled in platform?,sops/availability/runbook-14.md,0.2474,alert,prod-use2-eks,platform,image-resizer-9994630-7c707,network,904,true,true,2026-06-13 02:27:33
481,why is checkout-web restarting in checkout?,sops/memory/runbook-35.md,0.5068,auto,prod-usw2-eks,checkout,checkout-web-f628153-c1833,node,13,true,false,2026-06-18 13:06:06
482,why is ledger-svc restarting in ledger?,sops/cpu/runbook-31.md,0.3213,chat,prod-use2-eks,ledger,ledger-svc-f4a6d64-16dde,cpu,454,false,false,2026-06-13 10:23:26
483,why is config-svc throttled in platform?,sops/memory/runbook-18.md,0.2341,alert,prod-use2-eks,platform,config-svc-ddd1723-06ca5,cpu,31,true,false,2026-05-31 13:26:34
484,why is recommendation restarting in search?,sops/node/runbook-08.md,0.3275,auto,prod-use2-eks,search,recommendation-e5d5555-c6e9b,memory,739,false,false,2026-06-16 19:28:47
485,why is search-api slow in search?,sops/cpu/runbook-31.md,0.4886,auto,staging-use2-eks,search,search-api-1605640-8abaf,cpu,1056,true,false,2026-06-12 05:03:28
486,why is orders-api throttled in orders?,sops/node/runbook-01.md,0.5493,chat,prod-usw2-eks,orders,orders-api-402bb51-ad48f,network,606,false,false,2026-06-02 12:50:11
